SampleID,Q-001使用している,Q-002使用中のブランド(V),Q3_好きなところ(FA),Q4_嫌いなところ(FA),Q5_他に使用してみたいブランドの有無(V),Q5_2_他に使用してみたいブランド(V),Q6_理由(FA),Q7_年代(V),Q8_婚姻(V),Q9_ファンデーションのタイプ(V),Q10_購入場所(V),Q11_感じていること・要望など(FA)
1,1,オルビス,じぶんにあってる,たかい,ない,,,40-49歳,既婚（子供あり）,クリームタイプ,ブランド専門のインターネット通信販売,じぶんにあえばよい
2,1,その他,しっとり肌になじむ感じ、粉っぽく浮かない。,値段が高い,ない,,,25-29歳,未婚,パウダリータイプ,インターネット以外の通信販売,試供品があれば一番いいですけど、せめて２００円ぐらいのお試しサイズが各商品にあるといいですね。
3,1,ちふれ,安い,ケースがダサい,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,どのタイプが自分に合うのかわからない
4,1,その他,毛穴が消える。厚くならない。表情が明るくなる。,長持ちしない。,ない,,,25-29歳,未婚,パウダリータイプ,ドラッグストア,買って使ってみないと、わからない。いいお値段がするのでいつも迷う。お試し用みたいのがあると嬉しい。
5,1,その他,あんまりぬらなくてもかばーしてくれるところ。,てかりやすい。,ある,プラウディア,宣伝のかんじがよさそうだから。,20-24歳,未婚,パウダリータイプ,デパート,価格が高い。
6,1,その他,カバーメイクができる　紫外線カット率が高い,色が少ない　香りがよくない,ない,,,40-49歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,歳とともにカバー力の違いがとても目につくようになった。乾燥するものもいや
7,1,その他,微粒子,特になし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,なし
8,1,その他,使い勝手が良い　海綿でつきやすくべとつきも無く汗で取れる事も無い,添付されているパフがスポンジなのが嫌,ない,,,60歳以上,既婚（子供あり）,パウダリータイプ,化粧品専門店,何時の化粧品を購入して思うのはパッケージが取り扱い難い　(開閉時　あけにくく）良く落としてしまって中身がケースからこなごなに取れてしまいもう少し爪等を使わないで開閉できるケースにして欲しい　もう少し永い期間新しいデザインに切り替えないで欲しい。
9,1,その他,保湿効果が高く、パウダーなのにしっとりした仕上がる。,カバー力に物足りなさを感じる。,ある,その他,資生堂のカウンセリングを受けた時に、＆フェイスのエマルジョンファンデーションをつけてもらったところ、厚塗り感がないのに毛穴やしみがきれいにカバーされていて、適度なツヤのある仕上がりが非常に気に入った。,40-49歳,既婚（子供あり）,パウダリータイプ,デパート,厚塗りにならずに毛穴、しみ、しわなどのアラがきれいにカバーできるファンデーションが欲しい。手軽に使えて、肌に負担にならないものが望ましい。
10,1,ルティーナ,肌の付き具合、伸びが良い。肌がきれいに見える。,特になし,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,今はとても機能的なファンデーションが多くて、汗をかいても落ちないし、良いと思う。
11,1,ファシオ,値段はそんなに高くないのにカバー力がある,粉っぽい,ない,,,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,いいものは値段が高いので買う気にならない
12,1,レヴュー,自分の肌に合ってる,特にない,ない,,,25-29歳,未婚,パウダリータイプ,ドラッグストア,もっと色の種類があるといい
13,1,その他,無香料でのびがいいところ,カバー力が少し悪い,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,インターネット以外の通信販売,より肌に近い色で、カバー力があるものがでればいいと思う
14,1,レヴュー,しっとりして乾燥しない。ツヤがでる。透明感がある。化粧崩れしない。,以前目の周りなどに使用していた白い色が廃盤になったこと。カバー力が弱い。,ある,カバーマーク,肌の色をブルーベース、イエローベースに分けてそれぞれの色が豊富なので自分に合う色味がありそうだから。,35-39歳,未婚,クリームタイプ,デパート,透明感があってかつカバー力があり、色味がぴったりで乾燥しない保湿力のあるファンデーションがあればいいのに・・と思っています。どれもこれも何か１点は足りないので。
15,1,コスメデコルテ,ひんしつがとにかくよい。よくフィットする,手軽に使いづらい。価格が高い。,ない,,,30-34歳,既婚（子供なし）,クリームタイプ,デパート,自分に合う究極のファンデーションを見つけたい。
16,1,プラウディア,薄く付くのに素肌っぽくカバー力もある。,特にない,ある,マキアージュ,新製品だから,40-49歳,既婚（子供あり）,パウダリータイプ,化粧品専門店,素肌っぽく仕上がり、カバー力があるのに落ちにくいものを欲しいです。
17,1,レイシャス,厚ぼったくならず自然に仕上がる点。,シミ・ソバカスのカバー力がイマイチなところ。,ある,SK-Ⅱ,ＴＶ・ＣＭの影響かと。小雪、桃井かおりの肌が綺麗に見えるので。,35-39歳,既婚（子供なし）,パウダリータイプ,大型スーパー,コレからの季節は、手軽なパウダータイプでもシットリ仕上がりカバー力･潤いのある、リキッドっぽいものが望まれる。
18,1,オルビス,手軽に使える、ＵＶカットも出来る,特になし,ない,,,50-59歳,既婚（子供あり）,パウダリータイプ,ブランド専門のインターネット通信販売,つけているのを忘れるような軽いファンデーションが出来ればいいと思う
19,1,資生堂（メーカー）,年中使えるのが便利です,特に不便は感じていません,ない,,,50-59歳,既婚（子供あり）,リキッドタイプ,化粧品専門店,特にありません
20,1,CHANEL,もちがいい。,特にない。,ない,,,19歳以下,未婚,パウダリータイプ,その他,はだの色に合うファンデーションがなかなかない。
21,1,セザンヌ,安いのに、値段に劣らず、とてもカバー力があったりして、使いやすい,ケースがダサいところ,ない,,,25-29歳,既婚（子供なし）,パウダリータイプ,ドラッグストア,もっとかわいいケースがあったらいいと思います。あとは各種、容量、サイズがあればと思います
22,1,その他,つきが良い。色が好き,はがれやすい気がする。,ある,ルティーナ,なんとなく。宣伝ですごくやっているので。,20-24歳,未婚,パウダリータイプ,ドラッグストア,キラキララメはいらないと思う。
23,1,その他,カバー力があって原材料の成分が肌に優しい,夏場は崩れやすい,ある,RMK,評判がいいから,19歳以下,未婚,パウダリータイプ,デパート,値段が高いと思う
24,1,レヴュー,ノリがいい,高い,ある,その他,ノリがよさそう,30-34歳,未婚,パウダリータイプ,デパート,もっと経済的になればいいのに、と思う
25,1,その他,質感がよい,なし,ない,,,25-29歳,未婚,パウダリータイプ,ドラッグストア,もちがよいものがあるとよい
26,1,DHC,さらっとしているところ,特になし,ない,,,40-49歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,なし
27,1,レイシャス,キラキラした物が入っているのでツヤ感が出て素肌っぽく仕上がるところ,カバー力が弱い,ある,マキアージュ,サンプルを使ってみてよかったので,30-34歳,既婚（子供あり）,パウダリータイプ,ドラッグストア,特に無し
28,1,その他,ナチュラルで、時間がたつにつれてなじんでくるところ。,カバー力があまり無い。,ない,,,30-34歳,既婚（子供なし）,パウダリータイプ,デパート,お肌に良くてクレンジングなしで落とせる美容液みたいなファンでが欲しい。
29,1,ルティーナ,のびが良い,なし,ない,,,25-29歳,未婚,パウダリータイプ,デパート,なし
