名詞(複合語),(回数),形容詞,(回数),動詞,(回数),副詞,(回数),連体詞,(回数),接続詞,(回数)
肌,2351,安い,1022,する,1916,しっとり,313,この,24,また,38,
ところ,1771,良い,958,ある,1454,よく,310,同じ,24,てか,9,
カバー力,785,いい,799,合う,700,特に,239,その,17,しかも,9,
自然,726,よい,739,なる,682,しっかり,145,どの,6,でも,8,
色,685,ない,708,使う,551,とても,124,いろんな,4,そして,6,
伸び,602,細かい,292,のびる,530,あまり,89,色んな,3,又,4,
感じ,484,軽い,200,なじむ,411,さらさら,84,そんな,3,ただ,3,
自分,469,少ない,197,できる,345,ずっと,59,どんな,2,それでいて,3,
値段,450,優しい,177,見える,311,サラサラ,44,大きな,1,かつ,2,
価格,426,薄い,130,崩れる,260,なんとなく,42,あの,1,が,2,
仕上がり,414,やさしい,123,気に入る,260,さっぱり,42,ほんの,1,ないし,2,
きれい,385,かわいい,113,仕上がる,256,ぴったり,39,そういう,1,だから,1,
こと,331,高い,99,つく,247,とくに,34,おなじ,1,それなのに,1,
薄付き,276,無い,87,つける,245,まあ,33,,,ちなみに,1,
の,260,強い,86,くずれる,186,ちょうど,32,,,しかし,1,
毛穴,249,うすい,86,使える,186,少し,29,,,ところが,1,
透明感,227,可愛い,67,入る,169,比較的,24,,,実は,1,
手ごろ,209,きめ細かい,60,さらう,166,すぐ,24,,,だけど,1,
綺麗,192,明るい,57,塗る,163,結構,21,,,まずは,1,
カバー,192,近い,53,伸びる,127,いつも,20,,,なので,1,
好き,192,すごい,36,目立つ,126,とにかく,17,,,それから,1,
のり,191,弱い,32,買える,117,何となく,17,,,尚,1,
無添加,164,白い,32,きめる,112,かなり,16,,,,,
ファンデーション,160,厚ぼったい,32,思う,100,すっと,16,,,,,
化粧崩れ,158,きつい,30,出来る,83,キラキラ,16,,,,,
付け心地,158,多い,25,馴染む,81,さらり,15,,,,,
リキッド,151,厚い,25,持つ,80,ほとんど,14,,,,,
無香料,151,悪い,22,出る,78,きちんと,14,,,,,
ナチュラル,149,易い,20,付く,77,ちゃんと,13,,,,,
ケース,149,やすい,17,買う,77,べたべた,11,,,,,
所,145,汚い,17,湿る,77,ベタベタ,11,,,,,
薄づき,144,かゆい,16,落ちる,74,そんなに,10,,,,,
手頃,141,重い,15,荒れる,73,別に,10,,,,,
つき,137,濃い,15,づく,71,いかにも,9,,,,,
粉,135,小さい,15,くすむ,68,ある程度,9,,,,,
化粧,134,長い,14,あう,65,そこそこ,9,,,,,
粒子,131,臭い,13,キメる,56,まだ,8,,,,,
よう,120,痒い,13,べたつく,53,色々,8,,,,,
安心,113,こまかい,12,みえる,53,ピッタリ,8,,,,,
使用,112,大きい,12,でる,52,初めて,7,,,,,
気,111,イイ,11,隠れる,51,ふわっと,7,,,,,
つけ心地,110,気持ちいい,10,浮く,49,なかなか,7,,,,,
厚塗り,108,程よい,10,隠せる,49,多少,7,,,,,
負担,96,柔らかい,10,付ける,48,さっと,7,,,,,
ノリ,95,にくい,9,隠す,41,きらきら,7,,,,,
汗,93,新しい,7,いる,40,それほど,7,,,,,
手軽,93,すい,7,売る,39,とっても,7,,,,,
肌色,89,うまい,6,感じる,37,いろいろ,7,,,,,
ムラ,86,キメ細かい,6,塗れる,36,あんまり,6,,,,,
乾燥,84,早い,6,よれる,36,全く,6,,,,,
