ぶん, 名詞, 3, 1, (1) 体言-名詞-に, 1
ある, 動詞, 3, 1, (2) 用言-動詞-てる, 3
しっとり, 副詞, 3, 2, (2) 副詞-副詞, 5
肌, 名詞, 3, 2, (1) 体言-名詞-に, 6
なじむ, 動詞, 3, 2, (2) 用言-動詞, 8
感じ, 名詞, 3, 2, (1) 体言-名詞, 9
粉, 名詞, 3, 2, (1) 体言-名詞-っぽく, 11
浮く, 動詞, 3, 2, (2) 用言-動詞-ない, 13
安い, 形容詞, 3, 3, (2) 用言-形容詞, 16
毛穴, 名詞, 3, 4, (1) 体言-名詞-が, 17
消える, 動詞, 3, 4, (2) 用言-動詞, 19
厚い, 形容詞, 3, 4, (2) 用言-形容詞, 21
なる, 動詞, 3, 4, (2) 用言-動詞-ない, 22
表情, 名詞, 3, 4, (1) 体言-名詞-が, 25
明るい, 形容詞, 3, 4, (2) 用言-形容詞, 27
なる, 動詞, 3, 4, (2) 用言-動詞, 28
あんまり, 副詞, 3, 5, (2) 副詞-副詞, 30
ぬる, 動詞, 3, 5, (2) 用言-動詞-なく-て-も-か-ば, 31
ー, 名詞, 3, 5, (1) 体言-名詞, 37
する, 動詞, 3, 5, (2) 用言-動詞-て-くれる, 38
ところ, 名詞, 3, 5, (1) 体言-名詞, 41
カバーメイク, 複合語, 3, 6, (1) 体言-名詞-名詞-が, 43
できる, 動詞, 3, 6, (2) 用言-動詞, 46
紫外線カット率, 複合語, 3, 6, (1) 体言-名詞-名詞-名詞-が, 48
高い, 形容詞, 3, 6, (2) 用言-形容詞, 52
微粒子, 名詞, 3, 7, (1) 体言-名詞, 53
使い勝手, 名詞, 3, 8, (1) 体言-名詞-が, 54
良い, 形容詞, 3, 8, (2) 用言-形容詞, 56
海綿, 名詞, 3, 8, (1) 体言-名詞-で, 58
つく, 動詞, 3, 8, (2) 用言-動詞-やすく, 60
べとつく, 動詞, 3, 8, (2) 用言-動詞-も, 62
無い, 形容詞, 3, 8, (2) 用言-形容詞, 64
汗, 名詞, 3, 8, (1) 体言-名詞-で, 65
取れる, 動詞, 3, 8, (2) 用言-動詞, 67
事, 名詞, 3, 8, (1) 体言-名詞-も, 68
無い, 形容詞, 3, 8, (2) 用言-形容詞, 70
保, 名詞, 3, 9, (1) 体言-名詞, 71
湿る, 動詞, 3, 9, (2) 用言-動詞, 72
効果, 名詞, 3, 9, (1) 体言-名詞-が, 73
高い, 形容詞, 3, 9, (2) 用言-形容詞, 75
パウダー, 名詞, 3, 9, (1) 体言-名詞-な-のに, 77
しっとり, 副詞, 3, 9, (2) 副詞-副詞, 80
する, 動詞, 3, 9, (2) 用言-動詞-た, 81
仕上がる, 動詞, 3, 9, (2) 用言-動詞, 83
肌, 名詞, 3, 10, (1) 体言-名詞-の, 85
付き具合, 複合語, 3, 10, (1) 体言-名詞-名詞, 87
伸び, 名詞, 3, 10, (1) 体言-名詞-が, 90
良い, 形容詞, 3, 10, (2) 用言-形容詞, 92
肌, 名詞, 3, 10, (1) 体言-名詞-が, 94
きれい, 名詞, 3, 10, (1) 体言-名詞-に, 96
見える, 動詞, 3, 10, (2) 用言-動詞, 98
値段, 名詞, 3, 11, (1) 体言-名詞-は, 100
そんなに, 副詞, 3, 11, (2) 副詞-副詞, 102
高い, 形容詞, 3, 11, (2) 用言-形容詞-ない-のに, 103
カバー力, 複合語, 3, 11, (1) 体言-名詞-名詞-が, 106
ある, 動詞, 3, 11, (2) 用言-動詞, 109
自分, 名詞, 3, 12, (1) 体言-名詞-の, 110
肌, 名詞, 3, 12, (1) 体言-名詞-に, 112
合う, 動詞, 3, 12, (2) 用言-動詞-てる, 114
無香料, 複合語, 3, 13, (3) 接辞-接頭詞-名詞-で-の, 116
びがいいところ, 名詞, 3, 13, (1) 体言-名詞, 120
しっとり, 副詞, 3, 14, (2) 副詞-副詞, 121
する, 動詞, 3, 14, (2) 用言-動詞-て, 122
乾燥, 名詞, 3, 14, (1) 体言-名詞, 124
する, 動詞, 3, 14, (2) 用言-動詞-ない, 125
ツヤ, 名詞, 3, 14, (1) 体言-名詞-が, 128
でる, 動詞, 3, 14, (2) 用言-動詞, 130
透明感, 複合語, 3, 14, (1) 体言-名詞-名詞-が, 132
ある, 動詞, 3, 14, (2) 用言-動詞, 135
化粧, 名詞, 3, 14, (1) 体言-名詞, 137
崩れる, 動詞, 3, 14, (2) 用言-動詞, 138
する, 動詞, 3, 14, (2) 用言-動詞-ない, 139
ひんす, 動詞, 3, 15, (2) 用言-動詞-つ-が, 142
とにかく, 副詞, 3, 15, (2) 副詞-副詞, 145
よい, 形容詞, 3, 15, (2) 用言-形容詞, 146
よく, 副詞, 3, 15, (2) 副詞-副詞, 148
フィット, 名詞, 3, 15, (1) 体言-名詞, 149
する, 動詞, 3, 15, (2) 用言-動詞, 150
薄い, 形容詞, 3, 16, (2) 用言-形容詞, 151
付く, 動詞, 3, 16, (2) 用言-動詞, 152
の, 名詞, 3, 16, (1) 体言-名詞-に, 153
素肌, 名詞, 3, 16, (1) 体言-名詞-っぽく, 155
カバー力, 複合語, 3, 16, (1) 体言-名詞-名詞-も, 157
ある, 動詞, 3, 16, (2) 用言-動詞, 160
厚ぼったい, 形容詞, 3, 17, (2) 用言-形容詞, 162
なる, 動詞, 3, 17, (2) 用言-動詞-ず, 163
自然, 名詞, 3, 17, (1) 体言-名詞-に, 165
仕上がる, 動詞, 3, 17, (2) 用言-動詞, 167
点, 名詞, 3, 17, (1) 体言-名詞, 168
手軽, 名詞, 3, 18, (1) 体言-名詞-に, 170
使える, 動詞, 3, 18, (2) 用言-動詞, 172
ＵＶカット, 複合語, 3, 18, (1) 体言-名詞-名詞-も, 174
出来る, 動詞, 3, 18, (2) 用言-動詞, 177
年中, 名詞, 3, 19, (1) 体言-名詞, 178
使える, 動詞, 3, 19, (2) 用言-動詞, 179
の, 名詞, 3, 19, (1) 体言-名詞-が, 180
便利, 名詞, 3, 19, (1) 体言-名詞-です, 182
もち, 名詞, 3, 20, (1) 体言-名詞-が, 184
いい, 形容詞, 3, 20, (2) 用言-形容詞, 186
安い, 形容詞, 3, 21, (2) 用言-形容詞-のに, 188
値段, 名詞, 3, 21, (1) 体言-名詞-に, 191
劣る, 動詞, 3, 21, (2) 用言-動詞-ず, 193
とても, 副詞, 3, 21, (2) 副詞-副詞, 196
カバー力, 複合語, 3, 21, (1) 体言-名詞-名詞-が, 197
ある, 動詞, 3, 21, (2) 用言-動詞-たり, 200
する, 動詞, 3, 21, (2) 用言-動詞-て, 202
使う, 動詞, 3, 21, (2) 用言-動詞-やすい, 205
つき, 名詞, 3, 22, (1) 体言-名詞-が, 207
良い, 形容詞, 3, 22, (2) 用言-形容詞, 209
色, 名詞, 3, 22, (1) 体言-名詞-が, 211
好き, 名詞, 3, 22, (1) 体言-名詞, 213
カバー力, 複合語, 3, 23, (1) 体言-名詞-名詞-が, 214
ある, 動詞, 3, 23, (2) 用言-動詞-て, 217
原材料, 名詞, 3, 23, (1) 体言-名詞-の, 219
成分, 名詞, 3, 23, (1) 体言-名詞-が, 221
肌, 名詞, 3, 23, (1) 体言-名詞-に, 223
優しい, 形容詞, 3, 23, (2) 用言-形容詞, 225
ノリ, 名詞, 3, 24, (1) 体言-名詞-が, 226
いい, 形容詞, 3, 24, (2) 用言-形容詞, 228
質感, 名詞, 3, 25, (1) 体言-名詞-が, 229
よい, 形容詞, 3, 25, (2) 用言-形容詞, 231
さらう, 動詞, 3, 26, (2) 用言-動詞-と, 232
する, 動詞, 3, 26, (2) 用言-動詞-て-いる, 234
ところ, 名詞, 3, 26, (1) 体言-名詞, 237
キラキラ, 副詞, 3, 27, (2) 副詞-副詞, 238
する, 動詞, 3, 27, (2) 用言-動詞-た, 239
物, 名詞, 3, 27, (1) 体言-名詞-が, 241
入る, 動詞, 3, 27, (2) 用言-動詞-て-いる-ので, 243
ツヤ感, 複合語, 3, 27, (1) 体言-名詞-名詞-が, 247
出る, 動詞, 3, 27, (2) 用言-動詞-て, 250
素肌, 名詞, 3, 27, (1) 体言-名詞-っぽく, 252
仕上がる, 動詞, 3, 27, (2) 用言-動詞, 254
ところ, 名詞, 3, 27, (1) 体言-名詞, 255
ナチュラル, 名詞, 3, 28, (1) 体言-名詞-で, 256
時間, 名詞, 3, 28, (1) 体言-名詞-が, 259
たつ, 動詞, 3, 28, (2) 用言-動詞-につれて, 261
なじむ, 動詞, 3, 28, (2) 用言-動詞-で-くる, 263
ところ, 名詞, 3, 28, (1) 体言-名詞, 266
のびる, 動詞, 3, 29, (2) 用言-動詞-が, 268
良い, 形容詞, 3, 29, (2) 用言-形容詞, 270
きれい, 名詞, 3, 30, (1) 体言-名詞-に, 271
つく, 動詞, 3, 30, (2) 用言-動詞, 273
のり, 名詞, 3, 31, (1) 体言-名詞-が, 274
よい, 形容詞, 3, 31, (2) 用言-形容詞, 276
時間, 名詞, 3, 32, (1) 体言-名詞-が, 277
経つ, 動詞, 3, 32, (2) 用言-動詞-ほど-に, 279
肌, 名詞, 3, 32, (1) 体言-名詞-に, 282
しっとり, 副詞, 3, 32, (2) 副詞-副詞-と, 284
なじむ, 動詞, 3, 32, (2) 用言-動詞-で-くる, 286
ところ, 名詞, 3, 32, (1) 体言-名詞, 289
リキッド, 名詞, 3, 33, (1) 体言-名詞-の, 290
よう, 名詞, 3, 33, (1) 体言-名詞-だ-が, 292
つける, 動詞, 3, 33, (2) 用言-動詞-た, 296
とたんパウダー, 複合語, 3, 33, (1) 体言-名詞-名詞-の, 298
よう, 名詞, 3, 33, (1) 体言-名詞-な, 301
感じ, 名詞, 3, 33, (1) 体言-名詞-に, 303
なる, 動詞, 3, 33, (2) 用言-動詞, 305
乾燥, 名詞, 3, 34, (1) 体言-名詞, 306
する, 動詞, 3, 34, (2) 用言-動詞-ない, 307
さらう, 動詞, 3, 35, (2) 用言-動詞-と, 309
する, 動詞, 3, 35, (2) 用言-動詞-て-いる, 311
ところ, 名詞, 3, 35, (1) 体言-名詞, 314
テカ, 名詞, 3, 36, (1) 体言-名詞-り, 316
にくい, 形容詞, 3, 36, (2) 用言-形容詞-て, 318
長時間, 名詞, 3, 36, (1) 体言-名詞, 320
キープ, 名詞, 3, 36, (1) 体言-名詞-が, 321
可能, 名詞, 3, 36, (1) 体言-名詞, 323
色味, 複合語, 3, 37, (1) 体言-名詞-名詞-が, 326
自分, 名詞, 3, 37, (1) 体言-名詞-に, 329
ある, 動詞, 3, 37, (2) 用言-動詞-てる, 331
手頃, 名詞, 3, 38, (1) 体言-名詞-な, 333
ところ, 名詞, 3, 38, (1) 体言-名詞, 335
固形, 名詞, 3, 39, (1) 体言-名詞-の, 336
