語, 品詞, 総数
肌, 名詞, 2351
する, 動詞, 1916
ある, 動詞, 1454
なじむ#, 動詞, 1192
安い, 形容詞, 1022
良い, 形容詞, 958
価格#, 代表語, 876
いい, 形容詞, 799
カバー力, 複合語, 785
よい, 形容詞, 739
自然, 名詞, 726
ない, 形容詞, 708
色, 名詞, 685
なる, 動詞, 682
伸び, 名詞, 602
綺麗#, 代表語, 577
使う, 動詞, 551
のびる, 動詞, 530
感じ, 名詞, 484
自分, 名詞, 469
仕上がり, 名詞, 414
手頃#, 代表語, 350
できる, 動詞, 345
しっとり, 副詞, 313
見える, 動詞, 311
よく, 副詞, 310
細かい, 形容詞, 292
薄付き, 複合語, 276
崩れる, 動詞, 260
気に入る, 動詞, 260
仕上がる, 動詞, 256
毛穴, 名詞, 249
つく, 動詞, 247
つける, 動詞, 245
特に, 副詞, 239
透明感, 複合語, 227
軽い, 形容詞, 200
少ない, 形容詞, 197
カバー, 名詞, 192
好き, 名詞, 192
のり, 名詞, 191
くずれる, 動詞, 186
使える, 動詞, 186
優しい, 形容詞, 177
入る, 動詞, 169
さらう, 動詞, 166
無添加, 複合語, 164
塗る, 動詞, 163
ファンデーション, 名詞, 160
化粧崩れ, 複合語, 158
付け心地, 複合語, 158
リキッド, 名詞, 151
無香料, 複合語, 151
ナチュラル, 名詞, 149
ケース, 名詞, 149
所, 名詞, 145
しっかり, 副詞, 145
薄づき, 複合語, 144
つき, 名詞, 137
粉, 名詞, 135
化粧, 名詞, 134
粒子, 名詞, 131
薄い, 形容詞, 130
伸びる, 動詞, 127
目立つ, 動詞, 126
とても, 副詞, 124
やさしい, 形容詞, 123
よう, 名詞, 120
買える, 動詞, 117
かわいい, 形容詞, 113
安心, 名詞, 113
きめる, 動詞, 112
使用, 名詞, 112
気, 名詞, 111
つけ心地, 複合語, 110
厚塗り, 複合語, 108
思う, 動詞, 100
高い, 形容詞, 99
負担, 名詞, 96
ノリ, 名詞, 95
汗, 名詞, 93
手軽, 名詞, 93
肌色, 名詞, 89
あまり, 副詞, 89
無い, 形容詞, 87
ムラ, 名詞, 86
強い, 形容詞, 86
うすい, 形容詞, 86
さらさら, 副詞, 84
乾燥, 名詞, 84
パウダー, 名詞, 84
購入, 名詞, 83
素肌, 名詞, 83
敏感肌, 複合語, 83
出来る, 動詞, 83
安価, 名詞, 81
デザイン, 名詞, 81
私, 名詞, 80
持つ, 動詞, 80
保, 名詞, 78
出る, 動詞, 78
付く, 動詞, 77
買う, 動詞, 77
湿る, 動詞, 77
水, 名詞, 76
匂い, 名詞, 75
落ちる, 動詞, 74
もの, 名詞, 73
使い心地, 複合語, 73
荒れる, 動詞, 73
さ, 名詞, 71
づく, 動詞, 71
肌荒れ, 名詞, 70
コンパクト, 名詞, 68
くすむ, 動詞, 68
香り, 名詞, 68
少量, 名詞, 67
点, 名詞, 67
可愛い, 形容詞, 67
リキッドタイプ, 名詞, 65
あう, 動詞, 65
簡単, 名詞, 63
成分, 名詞, 63
感, 名詞, 62
もち, 名詞, 62
キレイ, 名詞, 60
きめ細かい, 形容詞, 60
ずっと, 副詞, 59
品質, 名詞, 59
フィット, 名詞, 57
割, 名詞, 57
明るい, 形容詞, 57
キメる, 動詞, 56
事, 名詞, 56
付き, 名詞, 54
近い, 形容詞, 53
べたつく, 動詞, 53
みえる, 動詞, 53
使用感, 複合語, 53
むら, 名詞, 53
でる, 動詞, 52
わり, 名詞, 52
香料, 名詞, 51
長時間, 名詞, 51
隠れる, 動詞, 51
しみ, 名詞, 49
浮く, 動詞, 49
手, 名詞, 49
シミ, 名詞, 49
隠せる, 動詞, 49
付ける, 動詞, 48
低価格, 複合語, 48
時, 名詞, 47
色味, 複合語, 47
長持ち, 名詞, 46
発色, 名詞, 46
一番, 名詞, 46
時間, 名詞, 46
刺激, 名詞, 45
他, 名詞, 44
サラサラ, 副詞, 44
パッケージ, 名詞, 43
UVカット, 複合語, 43
なんとなく, 副詞, 42
さっぱり, 副詞, 42
におい, 名詞, 42
メーカー, 名詞, 42
隠す, 動詞, 41
割り, 名詞, 41
いる, 動詞, 40
顔, 名詞, 40
ぴったり, 副詞, 39
売る, 動詞, 39
通販, 名詞, 38
肌質, 複合語, 38
化粧直し, 名詞, 38
また, 接続詞, 38
効果, 名詞, 38
力, 名詞, 38
とき, 名詞, 37
感じる, 動詞, 37
塗れる, 動詞, 36
色合い, 名詞, 36
すごい, 形容詞, 36
フィット感, 複合語, 36
よれる, 動詞, 36
かく, 動詞, 36
コンビニ, 名詞, 35
美白効果, 複合語, 35
とくに, 副詞, 34
マット, 名詞, 34
サラッ, 名詞, 34
なめらか, 名詞, 33
経つ, 動詞, 33
ブランド, 名詞, 33
まあ, 副詞, 33
商品, 名詞, 33
なじみ, 名詞, 33
ちょうど, 副詞, 32
弱い, 形容詞, 32
感触, 名詞, 32
白い, 形容詞, 32
厚ぼったい, 形容詞, 32
優れる, 動詞, 31
下地, 名詞, 31
お手ごろ, 複合語, 31
化粧のり, 複合語, 31
オイルフリー, 複合語, 31
きつい, 形容詞, 30
気軽, 名詞, 30
美容液, 複合語, 30
後, 名詞, 30
便利, 名詞, 30
これ, 名詞, 30
トラブル, 名詞, 30
使い慣れる, 動詞, 29
少し, 副詞, 29
肌なじみ, 複合語, 29
ＵＶカット, 複合語, 29
今, 名詞, 29
とこ, 名詞, 29
見せる, 動詞, 29
すき, 名詞, 28
シンプル, 名詞, 28
ぬれる, 動詞, 27
量, 名詞, 27
紫外線, 名詞, 27
かぶれる, 動詞, 27
質感, 名詞, 27
CM, 名詞, 26
いう, 動詞, 26
乾燥肌, 複合語, 26
どこ, 名詞, 26
オールシーズン, 複合語, 26
テカリ, 名詞, 26
化粧品, 複合語, 26
ファン, 名詞, 26
敏感肌用, 複合語, 26
多い, 形容詞, 25
豊富, 名詞, 25
気にいる, 動詞, 25
容器, 名詞, 25
厚い, 形容詞, 25
安全, 名詞, 24
べとつく, 動詞, 24
この, 連体詞, 24
比較的, 副詞, 24
日焼け止め効果, 複合語, 24
リキッドファンデーション, 名詞, 24
同じ, 連体詞, 24
ぬる, 動詞, 24
すぐ, 副詞, 24
たつ, 動詞, 24
方, 名詞, 24
ため, 名詞, 23
しあがる, 動詞, 23
悪い, 形容詞, 22
低刺激, 複合語, 22
厚化粧, 名詞, 22
添加物, 複合語, 22
皮脂, 名詞, 22
クリームタイプ, 複合語, 22
質, 名詞, 22
つや, 名詞, 22
すむ, 動詞, 21
カラー, 名詞, 21
ドラッグストア, 名詞, 21
かかる, 動詞, 21
結構, 副詞, 21
ＣＭ, 名詞, 20
薄つき, 複合語, 20
なれる, 動詞, 20
作る, 動詞, 20
易い, 形容詞, 20
選ぶ, 動詞, 20
いつも, 副詞, 20
ＵＶ効果, 複合語, 20
つけごこち, 複合語, 19
メイク, 名詞, 19
上, 名詞, 19
潤い, 名詞, 19
昔, 名詞, 19
試す, 動詞, 18
長年, 名詞, 18
高級感, 複合語, 18
違う, 動詞, 18
心地, 名詞, 18
顔色, 名詞, 18
わかる, 動詞, 18
以前, 名詞, 18
薄, 名詞, 18
言う, 動詞, 18
滑らか, 名詞, 18
のる, 動詞, 18
つかう, 動詞, 17
選べる, 動詞, 17
その, 連体詞, 17
消える, 動詞, 17
やすい, 形容詞, 17
そう, 名詞, 17
パール, 名詞, 17
お手頃, 複合語, 17
適度, 名詞, 17
そばかす, 名詞, 17
密着, 名詞, 17
とにかく, 副詞, 17
素肌感, 複合語, 17
汚い, 形容詞, 17
何となく, 副詞, 17
にきび, 名詞, 16
お肌, 複合語, 16
お手ごろ価格, 複合語, 16
うすずく, 動詞, 16
ニキビ, 名詞, 16
かなり, 副詞, 16
着ける, 動詞, 16
かゆい, 形容詞, 16
信頼, 名詞, 16
楽, 名詞, 16
パフ, 名詞, 16
資生堂, 名詞, 16
すっと, 副詞, 16
防ぐ, 動詞, 16
キラキラ, 副詞, 16
含む, 動詞, 16
安心感, 複合語, 15
スーパー, 名詞, 15
油, 名詞, 15
重い, 形容詞, 15
人, 名詞, 15
変える, 動詞, 15
濃い, 形容詞, 15
あと, 名詞, 15
重ねる, 動詞, 15
愛用, 名詞, 15
大丈夫, 名詞, 15
見た目, 名詞, 15
さらり, 副詞, 15
油分, 名詞, 15
薄付, 複合語, 15
天然成分, 複合語, 15
ご, 接頭詞, 15
小さい, 形容詞, 15
サラサラ感, 複合語, 15
種類, 名詞, 14
一緒, 名詞, 14
かさ, 名詞, 14
リーズナブル, 名詞, 14
さそう, 複合語, 14
不使用, 複合語, 14
長い, 形容詞, 14
ほとんど, 副詞, 14
使い, 名詞, 14
白, 名詞, 14
きちんと, 副詞, 14
イメージ, 名詞, 14
光, 名詞, 14
肌トラブル, 複合語, 14
夏, 名詞, 14
ちゃんと, 副詞, 13
化粧水, 複合語, 13
済む, 動詞, 13
臭い, 形容詞, 13
合わせる, 動詞, 13
化粧持ち, 複合語, 13
それ, 名詞, 13
季節, 名詞, 13
普通, 名詞, 13
痒い, 形容詞, 13
中, 名詞, 13
日焼け止め, 複合語, 13
日焼け, 名詞, 13
皮膚呼吸, 複合語, 13
みせる, 動詞, 12
しっとり感, 複合語, 12
つけ, 名詞, 12
金額, 名詞, 12
ノビ, 名詞, 12
パウダータイプ, 複合語, 12
延び, 名詞, 12
落とす, 動詞, 12
持続, 名詞, 12
こまかい, 形容詞, 12
夏用, 複合語, 12
ラメ, 名詞, 12
ごち, 複合語, 12
かんじる, 動詞, 12
たくさん, 名詞, 12
基礎化粧品, 複合語, 12
紫外線対策, 複合語, 12
大きい, 形容詞, 12
潤う, 動詞, 12
イイ, 形容詞, 11
勧める, 動詞, 11
くる, 動詞, 11
光る, 動詞, 11
はいる, 動詞, 11
べたべた, 副詞, 11
違和感, 名詞, 11
ツヤ感, 複合語, 11
吸う, 動詞, 11
臭い, 名詞, 11
UV, 名詞, 11
詰め替える, 動詞, 11
有る, 動詞, 11
機能, 名詞, 11
ベタベタ, 副詞, 11
美白, 複合語, 11
見る, 動詞, 11
調子, 名詞, 11
オイルカット, 複合語, 11
紫外線カット, 複合語, 11
物, 名詞, 11
一年中, 名詞, 11
おしゃれ, 名詞, 11
変わる, 動詞, 11
自然派化粧品, 複合語, 10
両方, 名詞, 10
ツヤ, 名詞, 10
サンプル, 名詞, 10
形, 名詞, 10
そんなに, 副詞, 10
ナチュラル感, 複合語, 10
ファンデ, 名詞, 10
赤ちゃん, 名詞, 10
肌触り, 名詞, 10
配合, 名詞, 10
ん, 名詞, 10
乗る, 動詞, 10
近く, 名詞, 10
クリーム状, 複合語, 10
気持ち, 名詞, 10
原料, 名詞, 10
カバ, 名詞, 10
いつ, 名詞, 10
自然化粧品, 複合語, 10
スポンジ, 名詞, 10
別に, 副詞, 10
気持ちいい, 形容詞, 10
評判, 名詞, 10
あり, 動詞, 10
具合, 名詞, 10
製品, 名詞, 10
素肌感覚, 複合語, 10
程よい, 形容詞, 10
赤み, 名詞, 10
手間, 名詞, 10
柔らかい, 形容詞, 10
テカら, 複合語, 10
使い勝手, 名詞, 10
いかにも, 副詞, 9
圧迫感, 複合語, 9
比べる, 動詞, 9
夏場, 名詞, 9
着く, 動詞, 9
指定成分, 複合語, 9
ある程度, 副詞, 9
てか, 接続詞, 9
併用, 名詞, 9
整う, 動詞, 9
無油分, 複合語, 9
ＵＶケア, 複合語, 9
べたつき, 複合語, 9
問題, 名詞, 9
用, 名詞, 9
抑える, 動詞, 9
化粧もち, 複合語, 9
パクト, 名詞, 9
にくい, 形容詞, 9
お手頃価格, 複合語, 9
ＵＶカット効果, 複合語, 9
自然派, 複合語, 9
スキンケア, 複合語, 9
状態, 名詞, 9
馴染み, 名詞, 9
ウォータープルーフ, 複合語, 9
カワイイ, 名詞, 9
対応, 名詞, 9
鏡, 名詞, 9
色目, 名詞, 9
UVカット効果, 複合語, 9
店員さん, 複合語, 9
ふく, 動詞, 9
UV効果, 複合語, 9
リフィル, 名詞, 9
しかも, 接続詞, 9
そこそこ, 副詞, 9
ニキビ肌, 複合語, 8
まだ, 副詞, 8
パウダーファンデーション, 複合語, 8
無添加化粧品, 複合語, 8
お店, 複合語, 8
行く, 動詞, 8
まぁ, 感動詞, 8
かける, 動詞, 8
素材, 名詞, 8
お気に入り, 名詞, 8
持ち運び, 名詞, 8
塗り心地, 複合語, 8
しわ, 名詞, 8
適当, 名詞, 8
シリーズ, 名詞, 8
めだつ, 動詞, 8
汚れる, 動詞, 8
色々, 副詞, 8
かりる, 動詞, 8
敏感, 名詞, 8
クリーム, 名詞, 8
作れる, 動詞, 8
有名, 名詞, 8
コーセー, 名詞, 8
必要, 名詞, 8
ピッタリ, 副詞, 8
コンパクトケース, 複合語, 8
素顔, 名詞, 8
ノンオイル, 複合語, 8
入れる, 動詞, 8
近所, 名詞, 8
細やか, 名詞, 8
パッケージデザイン, 複合語, 8
ツキ, 名詞, 8
ベタつく, 動詞, 8
呼吸, 名詞, 8
薄化粧, 名詞, 8
色づく, 動詞, 8
テカ, 名詞, 8
入れ物, 名詞, 8
アトピー, 名詞, 8
光沢, 名詞, 8
でも, 接続詞, 8
皮膚, 名詞, 8
スー, 名詞, 8
通信販売, 複合語, 8
両用, 名詞, 8
天然素材, 複合語, 8
なくなる, 動詞, 8
初めて, 副詞, 7
一切, 名詞, 7
新しい, 形容詞, 7
すべすべ, 名詞, 7
無臭, 名詞, 7
バリエーション, 名詞, 7
ふわっと, 副詞, 7
毎回, 名詞, 7
それなり, 名詞, 7
なかなか, 副詞, 7
部分, 名詞, 7
他の, 複合語, 7
スティックタイプ, 複合語, 7
多少, 副詞, 7
抜群, 名詞, 7
体, 名詞, 7
ネット, 名詞, 7
さっと, 副詞, 7
為, 名詞, 7
きらきら, 副詞, 7
全体, 名詞, 7
利用, 名詞, 7
すい, 形容詞, 7
それほど, 副詞, 7
おさえる, 動詞, 7
店頭, 名詞, 7
とっても, 副詞, 7
肌理, 名詞, 7
いろいろ, 副詞, 7
サラ, 名詞, 7
もつ, 動詞, 7
おちる, 動詞, 7
試供品, 複合語, 7
落とせる, 動詞, 7
押さえる, 動詞, 7
酸化, 名詞, 7
液体, 名詞, 7
パウダリー, 名詞, 7
乳液, 名詞, 7
両用タイプ, 複合語, 7
もらう, 動詞, 7
店, 名詞, 7
パサ, 名詞, 6
ケースデザイン, 複合語, 6
微粒子, 名詞, 6
塗り, 名詞, 6
高品質, 複合語, 6
全て, 名詞, 6
せい, 名詞, 6
うまい, 形容詞, 6
そして, 接続詞, 6
どの, 連体詞, 6
石鹸, 名詞, 6
キメ細かい, 形容詞, 6
使いごこち, 複合語, 6
非常, 名詞, 6
早い, 形容詞, 6
カット, 名詞, 6
サイズ, 名詞, 6
厚付き, 複合語, 6
トリートメント効果, 複合語, 6
洗顔, 名詞, 6
出せる, 動詞, 6
普段, 名詞, 6
美容液成分, 複合語, 6
カネボウ, 名詞, 6
扱う, 動詞, 6
何年, 複合語, 6
赤い, 形容詞, 6
あんまり, 副詞, 6
続く, 動詞, 6
全く, 副詞, 6
スキンケア効果, 複合語, 6
ナチュラルメイク, 複合語, 6
ソバカス, 名詞, 6
ところ肌, 複合語, 6
黒い, 形容詞, 6
あわせる, 動詞, 6
可, 名詞, 6
動物実験, 複合語, 6
経済的, 複合語, 6
最後, 名詞, 6
脂, 名詞, 6
前, 名詞, 6
