番号,係り,受け,回数
0,する,色,7
1,する,感じ,48
2,する,価格#,18
3,する,カバー力,9
4,する,仕上がり,21
5,する,よう,12
6,する,所,18
7,する,伸び,8
8,する,ファンデーション,2
9,する,もの,4
10,する,のり,2
11,する,点,11
12,する,肌色,2
13,する,自分,2
14,する,事,6
15,する,のびる,7
16,する,デザイン,0
17,自分,色,3
18,自分,感じ,0
19,自分,価格#,0
20,自分,カバー力,0
21,自分,仕上がり,0
22,自分,よう,0
23,自分,所,0
24,自分,伸び,0
25,自分,ファンデーション,0
26,自分,もの,0
27,自分,のり,0
28,自分,点,0
29,自分,肌色,45
30,自分,自分,0
31,自分,事,0
32,自分,のびる,0
33,自分,デザイン,0
34,肌,色,154
35,肌,感じ,2
36,肌,価格#,0
37,肌,カバー力,0
38,肌,仕上がり,1
39,肌,よう,0
40,肌,所,0
41,肌,伸び,3
42,肌,ファンデーション,0
43,肌,もの,0
44,肌,のり,26
45,肌,点,0
46,肌,肌色,0
47,肌,自分,1
48,肌,事,0
49,肌,のびる,0
50,肌,デザイン,0
51,ある,色,20
52,ある,感じ,3
53,ある,価格#,13
54,ある,カバー力,6
55,ある,仕上がり,18
56,ある,よう,5
57,ある,所,7
58,ある,伸び,6
59,ある,ファンデーション,6
60,ある,もの,3
61,ある,のり,0
62,ある,点,5
63,ある,肌色,1
64,ある,自分,5
65,ある,事,1
66,ある,のびる,4
67,ある,デザイン,0
68,なじむ#,色,42
69,なじむ#,感じ,26
70,なじむ#,価格#,15
71,なじむ#,カバー力,1
72,なじむ#,仕上がり,7
73,なじむ#,よう,12
74,なじむ#,所,4
75,なじむ#,伸び,7
76,なじむ#,ファンデーション,4
77,なじむ#,もの,7
78,なじむ#,のり,1
79,なじむ#,点,0
80,なじむ#,肌色,0
81,なじむ#,自分,5
82,なじむ#,事,1
83,なじむ#,のびる,2
84,なじむ#,デザイン,1
85,安い,色,19
86,安い,感じ,2
87,安い,価格#,7
88,安い,カバー力,7
89,安い,仕上がり,4
90,安い,よう,0
91,安い,所,7
92,安い,伸び,6
93,安い,ファンデーション,3
94,安い,もの,1
95,安い,のり,3
96,安い,点,0
97,安い,肌色,0
98,安い,自分,6
99,安い,事,2
100,安い,のびる,3
101,安い,デザイン,1
102,いい,色,12
103,いい,感じ,12
104,いい,価格#,6
105,いい,カバー力,9
106,いい,仕上がり,8
107,いい,よう,2
108,いい,所,6
109,いい,伸び,4
110,いい,ファンデーション,1
111,いい,もの,2
112,いい,のり,1
113,いい,点,0
114,いい,肌色,0
115,いい,自分,3
116,いい,事,1
117,いい,のびる,3
118,いい,デザイン,0
119,良い,色,11
120,良い,感じ,5
121,良い,価格#,7
122,良い,カバー力,16
123,良い,仕上がり,8
124,良い,よう,2
125,良い,所,6
126,良い,伸び,3
127,良い,ファンデーション,0
128,良い,もの,0
129,良い,のり,0
130,良い,点,5
131,良い,肌色,2
132,良い,自分,3
133,良い,事,3
134,良い,のびる,1
135,良い,デザイン,1
136,よい,色,9
137,よい,感じ,6
138,よい,価格#,12
139,よい,カバー力,11
140,よい,仕上がり,6
141,よい,よう,1
142,よい,所,1
143,よい,伸び,2
144,よい,ファンデーション,2
145,よい,もの,0
146,よい,のり,1
147,よい,点,1
148,よい,肌色,0
