番号,係り,受け,回数
0,肌,ある,104
1,肌,なじむ#,794
2,肌,良い,40
3,肌,なる,39
4,肌,いい,16
5,肌,よい,24
6,肌,ない,19
7,肌,できる,6
8,肌,見える,145
9,肌,使う,2
10,肌,安い,0
11,肌,仕上がる,10
12,肌,細かい,0
13,肌,少ない,27
14,肌,つく,20
15,肌,気に入る,0
16,肌,入る,0
17,カバー力,ある,561
18,カバー力,なじむ#,1
19,カバー力,良い,13
20,カバー力,なる,1
21,カバー力,いい,10
22,カバー力,よい,11
23,カバー力,ない,0
24,カバー力,できる,0
25,カバー力,見える,1
26,カバー力,使う,2
27,カバー力,安い,0
28,カバー力,仕上がる,1
29,カバー力,細かい,0
30,カバー力,少ない,1
31,カバー力,つく,0
32,カバー力,気に入る,0
33,カバー力,入る,1
34,価格#,ある,22
35,価格#,なじむ#,16
36,価格#,良い,13
37,価格#,なる,3
38,価格#,いい,16
39,価格#,よい,6
40,価格#,ない,5
41,価格#,できる,5
42,価格#,見える,0
43,価格#,使う,19
44,価格#,安い,340
45,価格#,仕上がる,4
46,価格#,細かい,1
47,価格#,少ない,4
48,価格#,つく,2
49,価格#,気に入る,5
50,価格#,入る,2
51,色,ある,129
52,色,なじむ#,208
53,色,良い,23
54,色,なる,5
55,色,いい,27
56,色,よい,12
57,色,ない,4
58,色,できる,8
59,色,見える,5
60,色,使う,2
61,色,安い,2
62,色,仕上がる,2
63,色,細かい,1
64,色,少ない,1
65,色,つく,2
66,色,気に入る,16
67,色,入る,0
68,伸び,ある,6
69,伸び,なじむ#,5
70,伸び,良い,221
71,伸び,なる,1
72,伸び,いい,136
73,伸び,よい,176
74,伸び,ない,2
75,伸び,できる,2
76,伸び,見える,1
77,伸び,使う,2
78,伸び,安い,0
79,伸び,仕上がる,2
80,伸び,細かい,1
81,伸び,少ない,0
82,伸び,つく,3
83,伸び,気に入る,0
84,伸び,入る,0
85,綺麗#,ある,3
86,綺麗#,なじむ#,7
87,綺麗#,良い,1
88,綺麗#,なる,20
89,綺麗#,いい,3
90,綺麗#,よい,1
91,綺麗#,ない,2
92,綺麗#,できる,6
93,綺麗#,見える,151
94,綺麗#,使う,1
95,綺麗#,安い,0
96,綺麗#,仕上がる,43
97,綺麗#,細かい,0
98,綺麗#,少ない,1
99,綺麗#,つく,51
100,綺麗#,気に入る,2
101,綺麗#,入る,0
102,自然,ある,21
103,自然,なじむ#,20
104,自然,良い,5
105,自然,なる,67
106,自然,いい,9
107,自然,よい,6
108,自然,ない,3
109,自然,できる,5
110,自然,見える,35
111,自然,使う,1
112,自然,安い,6
113,自然,仕上がる,105
114,自然,細かい,1
115,自然,少ない,0
116,自然,つく,15
117,自然,気に入る,11
118,自然,入る,4
119,する,ある,26
120,する,なじむ#,19
121,する,良い,19
122,する,なる,14
123,する,いい,29
124,する,よい,9
125,する,ない,17
126,する,できる,16
127,する,見える,5
128,する,使う,15
129,する,安い,4
130,する,仕上がる,6
131,する,細かい,2
132,する,少ない,4
133,する,つく,3
134,する,気に入る,6
135,する,入る,0
136,のびる,ある,4
137,のびる,なじむ#,3
138,のびる,良い,106
139,のびる,なる,5
140,のびる,いい,110
141,のびる,よい,147
142,のびる,ない,3
143,のびる,できる,2
144,のびる,見える,2
145,のびる,使う,3
146,のびる,安い,0
147,のびる,仕上がる,3
148,のびる,細かい,0
149,のびる,少ない,2
150,のびる,つく,1
151,のびる,気に入る,0
152,のびる,入る,0
153,感じ,ある,12
154,感じ,なじむ#,9
155,感じ,良い,10
156,感じ,なる,31
157,感じ,いい,12
158,感じ,よい,12
159,感じ,ない,17
160,感じ,できる,1
161,感じ,見える,5
162,感じ,使う,2
163,感じ,安い,2
164,感じ,仕上がる,61
165,感じ,細かい,1
166,感じ,少ない,1
167,感じ,つく,7
168,感じ,気に入る,8
169,感じ,入る,1
170,ある,ある,16
171,ある,なじむ#,9
172,ある,良い,25
173,ある,なる,11
174,ある,いい,11
175,ある,よい,5
176,ある,ない,24
177,ある,できる,5
178,ある,見える,5
179,ある,使う,4
180,ある,安い,1
181,ある,仕上がる,9
182,ある,細かい,8
183,ある,少ない,4
184,ある,つく,6
185,ある,気に入る,13
186,ある,入る,0
187,よく,ある,17
188,よく,なじむ#,77
189,よく,良い,3
190,よく,なる,10
191,よく,いい,2
192,よく,よい,4
193,よく,ない,4
194,よく,できる,4
195,よく,見える,4
196,よく,使う,3
197,よく,安い,1
198,よく,仕上がる,3
199,よく,細かい,1
200,よく,少ない,1
201,よく,つく,8
202,よく,気に入る,1
203,よく,入る,1
204,しっとり,ある,13
205,しっとり,なじむ#,20
206,しっとり,良い,4
207,しっとり,なる,3
208,しっとり,いい,3
209,しっとり,よい,0
210,しっとり,ない,1
211,しっとり,できる,1
212,しっとり,見える,0
213,しっとり,使う,0
214,しっとり,安い,0
215,しっとり,仕上がる,9
216,しっとり,細かい,0
217,しっとり,少ない,0
218,しっとり,つく,9
219,しっとり,気に入る,0
220,しっとり,入る,0
221,仕上がり,ある,8
222,仕上がり,なじむ#,4
223,仕上がり,良い,14
224,仕上がり,なる,65
225,仕上がり,いい,9
226,仕上がり,よい,3
227,仕上がり,ない,2
228,仕上がり,できる,2
229,仕上がり,見える,5
230,仕上がり,使う,1
231,仕上がり,安い,4
232,仕上がり,仕上がる,0
233,仕上がり,細かい,0
234,仕上がり,少ない,2
235,仕上がり,つく,0
236,仕上がり,気に入る,11
237,仕上がり,入る,1
238,良い,ある,17
239,良い,なじむ#,31
240,良い,良い,15
241,良い,なる,21
242,良い,いい,5
243,良い,よい,1
244,良い,ない,5
245,良い,できる,3
246,良い,見える,5
247,良い,使う,11
248,良い,安い,0
249,良い,仕上がる,7
250,良い,細かい,1
251,良い,少ない,2
252,良い,つく,2
253,良い,気に入る,2
254,良い,入る,0
255,毛穴,ある,0
256,毛穴,なじむ#,0
257,毛穴,良い,1
258,毛穴,なる,1
259,毛穴,いい,0
260,毛穴,よい,0
261,毛穴,ない,0
262,毛穴,できる,12
263,毛穴,見える,1
264,毛穴,使う,0
265,毛穴,安い,0
266,毛穴,仕上がる,0
267,毛穴,細かい,0
268,毛穴,少ない,0
269,毛穴,つく,0
270,毛穴,気に入る,0
271,毛穴,入る,0
272,特に,ある,8
273,特に,なじむ#,0
274,特に,良い,0
275,特に,なる,0
276,特に,いい,2
277,特に,よい,0
278,特に,ない,189
279,特に,できる,1
280,特に,見える,0
281,特に,使う,2
282,特に,安い,0
283,特に,仕上がる,0
284,特に,細かい,0
285,特に,少ない,0
286,特に,つく,0
287,特に,気に入る,7
288,特に,入る,0
289,安い,ある,13
290,安い,なじむ#,16
291,安い,良い,24
292,安い,なる,2
293,安い,いい,20
294,安い,よい,9
295,安い,ない,4
296,安い,できる,6
297,安い,見える,0
298,安い,使う,9
299,安い,安い,0
300,安い,仕上がる,3
301,安い,細かい,1
302,安い,少ない,3
303,安い,つく,1
304,安い,気に入る,2
305,安い,入る,6
