SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
,,23224,7053,4769,2362,2080,1923,1968,1784,556,233,229,121,73,73
1,肌,2259,686,436,233,232,207,204,171,45,14,16,5,9,1
2,価格#,868,347,64,97,117,35,98,35,13,11,18,20,3,10
3,カバー力,783,219,237,66,50,76,46,46,27,10,2,1,3,0
4,自然,721,209,164,80,65,62,49,60,17,6,3,0,4,2
5,色,650,248,143,42,70,33,44,33,14,6,11,2,2,2
6,伸び,602,184,142,62,43,49,47,48,17,5,1,0,4,0
7,綺麗#,569,190,152,41,59,44,22,28,22,3,2,4,1,1
8,自分,468,185,91,26,54,31,30,31,8,3,3,3,2,1
9,感じ,465,134,92,49,50,42,37,42,7,5,2,1,4,0
10,仕上がり,413,124,107,42,33,40,25,26,9,5,1,0,0,1
11,手頃#,350,149,23,41,43,19,43,12,4,2,3,6,2,3
12,薄付き,275,78,81,28,23,28,9,18,6,2,0,2,0,0
13,毛穴,249,107,56,17,20,18,10,8,7,4,1,0,1,0
14,透明感,227,88,57,13,27,20,5,9,7,0,0,0,1,0
15,カバー,192,56,62,17,13,12,8,14,3,5,0,0,1,1
16,のり,191,79,33,11,16,17,17,10,3,0,2,1,2,0
17,好き,188,76,37,12,11,24,13,10,3,1,0,1,0,0
18,無添加,164,5,28,57,6,18,31,16,2,0,1,0,0,0
19,化粧崩れ,158,48,32,23,14,10,13,15,2,1,0,0,0,0
20,付け心地,158,39,39,17,10,15,15,14,2,3,0,0,1,3
21,ファンデーション,153,39,28,11,14,16,18,12,9,3,0,0,2,1
22,無香料,151,21,22,32,12,5,32,20,5,0,0,2,0,0
23,ナチュラル,149,36,52,11,9,14,10,8,6,3,0,0,0,0
24,リキッド,148,40,36,14,10,16,10,14,4,1,1,0,1,1
25,ケース,147,64,25,3,16,13,7,5,8,1,3,1,0,1
26,薄づき,144,37,48,11,10,14,12,7,4,1,0,0,0,0
27,つき,137,54,24,13,17,5,6,11,4,0,2,1,0,0
28,所,136,45,27,11,16,8,11,7,1,3,3,2,1,1
29,粉,134,46,29,12,15,9,12,10,1,0,0,0,0,0
30,化粧,133,43,25,16,9,13,6,11,8,1,0,0,1,0
31,粒子,131,24,34,13,16,16,12,13,2,1,0,0,0,0
32,よう,115,38,27,6,8,11,11,8,2,2,1,0,1,0
