名詞(複合語),(回数),形容詞,(回数),動詞,(回数),副詞,(回数),連体詞,(回数),接続詞,(回数)
肌,2351,安い,1022,する,1916,しっとり,313,同じ,24,また,38
価格#,876,良い,958,ある,1454,よく,310,この,24,てか,9
カバー力,785,いい,799,なじむ#,1192,特に,239,その,17,しかも,9
自然,726,よい,739,なる,682,しっかり,145,どの,6,でも,8
色,685,ない,708,使う,551,とても,124,いろんな,4,そして,6
伸び,602,細かい,292,のびる,530,あまり,89,色んな,3,又,4
綺麗#,577,軽い,200,できる,345,さらさら,84,そんな,3,ただ,3
感じ,484,少ない,197,見える,311,ずっと,59,どんな,2,それでいて,3
自分,469,優しい,177,崩れる,260,サラサラ,44,あの,1,ないし,2
仕上がり,414,薄い,130,気に入る,260,なんとなく,42,そういう,1,が,2
手頃#,350,やさしい,123,仕上がる,256,さっぱり,42,大きな,1,かつ,2
薄付き,276,かわいい,113,つく,247,ぴったり,39,おなじ,1,ちなみに,1
毛穴,249,高い,99,つける,245,とくに,34,ほんの,1,だけど,1
透明感,227,無い,87,使える,186,まあ,33,,,尚,1
カバー,192,うすい,86,くずれる,186,ちょうど,32,,,それなのに,1
好き,192,強い,86,入る,169,少し,29,,,それから,1
のり,191,可愛い,67,さらう,166,比較的,24,,,実は,1
無添加,164,きめ細かい,60,塗る,163,すぐ,24,,,しかし,1
ファンデーション,160,明るい,57,伸びる,127,結構,21,,,だから,1
化粧崩れ,158,近い,53,目立つ,126,いつも,20,,,なので,1
付け心地,158,すごい,36,買える,117,何となく,17,,,まずは,1
リキッド,151,厚ぼったい,32,きめる,112,とにかく,17,,,ところが,1
無香料,151,弱い,32,思う,100,すっと,16,,,,
ナチュラル,149,白い,32,出来る,83,かなり,16,,,,
ケース,149,きつい,30,持つ,80,キラキラ,16,,,,
所,145,多い,25,出る,78,さらり,15,,,,
薄づき,144,厚い,25,湿る,77,きちんと,14,,,,
つき,137,悪い,22,付く,77,ほとんど,14,,,,
粉,135,易い,20,買う,77,ちゃんと,13,,,,
化粧,134,汚い,17,落ちる,74,べたべた,11,,,,
粒子,131,やすい,17,荒れる,73,ベタベタ,11,,,,
安心,113,かゆい,16,づく,71,そんなに,10,,,,
使用,112,重い,15,くすむ,68,別に,10,,,,
気,111,濃い,15,あう,65,いかにも,9,,,,
つけ心地,110,小さい,15,キメる,56,そこそこ,9,,,,
厚塗り,108,長い,14,べたつく,53,ある程度,9,,,,
負担,96,痒い,13,みえる,53,まだ,8,,,,
ノリ,95,臭い,13,でる,52,ピッタリ,8,,,,
手軽,93,大きい,12,隠れる,51,色々,8,,,,
汗,93,こまかい,12,隠せる,49,それほど,7,,,,
肌色,89,イイ,11,浮く,49,さっと,7,,,,
ムラ,86,柔らかい,10,付ける,48,ふわっと,7,,,,
パウダー,84,程よい,10,隠す,41,初めて,7,,,,
乾燥,84,気持ちいい,10,いる,40,きらきら,7,,,,
敏感肌,83,にくい,9,売る,39,とっても,7,,,,
素肌,83,すい,7,感じる,37,なかなか,7,,,,
購入,83,新しい,7,塗れる,36,いろいろ,7,,,,
デザイン,81,うまい,6,かく,36,多少,7,,,,
安価,81,やわらかい,6,よれる,36,全く,6,,,,
私,80,息苦しい,6,経つ,33,あんまり,6,,,,
保,78,キメ細かい,6,優れる,31,ふんわり,6,,,,
水,76,きめこまかい,6,見せる,29,より,5,,,,
匂い,75,黒い,6,使い慣れる,29,良く,5,,,,
使い心地,73,赤い,6,かぶれる,27,たっぷり,5,,,,
もの,73,くい,6,ぬれる,27,そのまま,5,,,,
さ,71,早い,6,いう,26,ずーっと,4,,,,
肌荒れ,70,美しい,5,気にいる,25,丁度,4,,,,
香り,68,心地よい,5,たつ,24,ちょっと,4,,,,
コンパクト,68,気持ち良い,5,ぬる,24,かさかさ,4,,,,
少量,67,ものすごい,5,べとつく,24,まず,4,,,,
点,67,嬉しい,4,しあがる,23,必ず,4,,,,
リキッドタイプ,65,みずみずしい,4,かかる,21,一度,4,,,,
簡単,63,手早い,4,すむ,21,何より,4,,,,
成分,63,重たい,4,選ぶ,20,もともと,4,,,,
感,62,楽しい,3,作る,20,なんと,4,,,,
もち,62,かわいらしい,3,なれる,20,すーっ,4,,,,
キレイ,60,つよい,3,わかる,18,しっくり,4,,,,
品質,59,白っぽい,3,違う,18,沢山,3,,,,
フィット,57,気持ちよい,3,のる,18,意外と,3,,,,
割,57,かるい,3,言う,18,やっぱり,3,,,,
事,56,手軽い,3,試す,18,本当に,3,,,,
付き,54,くさい,3,つかう,17,やはり,3,,,,
使用感,53,欲しい,3,消える,17,実際,3,,,,
むら,53,暑い,3,選べる,17,まったく,3,,,,
わり,52,ほどよい,3,含む,16,つやつや,3,,,,
長時間,51,あつぼったい,2,着ける,16,サラリと,3,,,,
香料,51,ちかい,2,うすずく,16,スーッ,3,,,,
しみ,49,かっこよい,2,防ぐ,16,べったり,3,,,,
シミ,49,苦しい,2,重ねる,15,すっきり,3,,,,
手,49,おおい,2,変える,15,ひんやり,3,,,,
低価格,48,うい,2,済む,13,ぴたっと,3,,,,
時,47,あつい,2,合わせる,13,たまたま,3,,,,
色味,47,こい,2,落とす,12,とりあえず,2,,,,
発色,46,暗い,2,かんじる,12,ピタッ,2,,,,
長持ち,46,安っぽい,2,みせる,12,ほぼ,2,,,,
一番,46,丸い,2,潤う,12,また,2,,,,
時間,46,好い,2,有る,11,もう,2,,,,
刺激,45,若い,2,くる,11,こってり,2,,,,
他,44,硬い,2,見る,11,そう,2,,,,
パッケージ,43,あかるい,2,変わる,11,まるで,2,,,,
UVカット,43,ひどい,2,勧める,11,すんなり,2,,,,
におい,42,てがるい,2,詰め替える,11,一応,2,,,,
メーカー,42,暑苦しい,2,光る,11,最も,2,,,,
割り,41,痛い,2,はいる,11,ベッタリ,2,,,,
顔,40,すばやい,1,吸う,11,けっこう,2,,,,
肌質,38,煩わしい,1,あり,10,何とも,2,,,,
効果,38,輝かしい,1,乗る,10,全然,2,,,,
化粧直し,38,見苦しい,1,ふく,9,どう,2,,,,
力,38,恥ずかしい,1,比べる,9,なんとも,2,,,,
通販,38,ここちよい,1,整う,9,大抵,2,,,,
とき,37,うるさい,1,抑える,9,バッチリ,2,,,,
色合い,36,わるい,1,着く,9,なおかつ,2,,,,
フィット感,36,すばらしい,1,ベタつく,8,余り,2,,,,
美白効果,35,分厚い,1,めだつ,8,パッ,2,,,,
コンビニ,35,冷たい,1,なくなる,8,ごく,2,,,,
マット,34,酷い,1,行く,8,すべすべ,2,,,,
サラッ,34,すくない,1,汚れる,8,やや,2,,,,
ブランド,33,いたい,1,かける,8,まあだ,2,,,,
商品,33,素早い,1,色づく,8,パサパサ,2,,,,
なめらか,33,おおきい,1,作れる,8,やっと,2,,,,
なじみ,33,大人しい,1,入れる,8,つい,2,,,,
感触,32,よわい,1,かりる,8,ふわふわ,2,,,,
化粧のり,31,たのしい,1,押さえる,7,後で,2,,,,
下地,31,ぬくい,1,落とせる,7,いちいち,1,,,,
お手ごろ,31,うれしい,1,もらう,7,みるみる,1,,,,
オイルフリー,31,赤黒い,1,おさえる,7,もって,1,,,,
便利,30,ほしい,1,もつ,7,さらに,1,,,,
気軽,30,こわい,1,おちる,7,さほど,1,,,,
美容液,30,しつこい,1,扱う,6,ザラザラ,1,,,,
これ,30,怖い,1,あわせる,6,一見,1,,,,
後,30,短い,1,伸ばす,6,只,1,,,,
トラブル,30,わざとらしい,1,あがる,6,ヒリヒリ,1,,,,
ＵＶカット,29,つらい,1,出せる,6,そのうえ,1,,,,
とこ,29,脂っこい,1,割れる,6,常に,1,,,,
肌なじみ,29,かっこいい,1,つるむ,6,別途,1,,,,
今,29,可愛らしい,1,うく,6,ぴりぴり,1,,,,
すき,28,たかい,1,続く,6,どんなに,1,,,,
シンプル,28,力強い,1,起こす,6,ほんのり,1,,,,
量,27,きたない,1,分かれる,6,もち,1,,,,
紫外線,27,もったいない,1,薦める,6,殆ど,1,,,,
質感,27,とてつもない,1,よる,5,だいたい,1,,,,
敏感肌用,26,水っぽい,1,うるおう,5,ぴんと,1,,,,
ファン,26,黄色い,1,惹く,5,直ぐに,1,,,,
CM,26,厳しい,1,分かる,5,いっぱい,1,,,,
テカリ,26,なにげない,1,すすめる,5,もちろん,1,,,,
乾燥肌,26,難しい,1,かさばる,5,もしも,1,,,,
オールシーズン,26,ありがたい,1,すぐれる,5,案外,1,,,,
化粧品,26,細い,1,かくれる,5,大して,1,,,,
どこ,26,しろい,1,出す,5,とくべつ,1,,,,
容器,25,,,もらえる,5,できるだけ,1,,,,
豊富,25,,,持ち歩く,5,スルスル,1,,,,
方,24,,,忘れる,5,ついつい,1,,,,
日焼け止め効果,24,,,乗せる,5,あえて,1,,,,
リキッドファンデーション,24,,,妨げる,5,且つ,1,,,,
安全,24,,,みる,5,はっきり,1,,,,
ため,23,,,要る,5,ふわり,1,,,,
低刺激,22,,,かくす,5,次々,1,,,,
添加物,22,,,とれる,5,ぐんと,1,,,,
つや,22,,,使い分ける,5,何とか,1,,,,
厚化粧,22,,,仕上げる,5,わりに,1,,,,
質,22,,,防げる,5,べとべと,1,,,,
クリームタイプ,22,,,問う,5,それだけ,1,,,,
皮脂,22,,,助かる,5,サッと,1,,,,
カラー,21,,,置く,4,しゃきっと,1,,,,
ドラッグストア,21,,,減る,4,いままで,1,,,,
ＵＶ効果,20,,,張り付く,4,時々,1,,,,
薄つき,20,,,効く,4,ねっとり,1,,,,
ＣＭ,20,,,起きる,4,かく,1,,,,
昔,19,,,起こる,4,もっと,1,,,,
メイク,19,,,進める,4,同時に,1,,,,
つけごこち,19,,,輝く,4,こっくり,1,,,,
上,19,,,終わる,4,わざわざ,1,,,,
